L3-L2	L1-L2	L3-L1
2.01	1.1	2.35
1.17	3.05	3.25
0.99	1.27	1.45
3.67	2.04	2.09
2.62	1.48	3.49
2.65	1.39	1.91
1.77	1.84	0.39
3.43	2.11	2.52
1.69	1.19	0.7
1.35	1.75	1.25
0.71	0.6	0.9
0.63	1.44	0.83
0.57	0.95	1.48
0.5	1.55	1.21
1.65	1.77	1.38
1.81	2.37	0.71
1.53	1.59	0.6
0.51	1.06	1.17
1.34	0.36	1.39
2.05	1.63	0.48
2.37	1.53	2.09
1.21	0.44	0.86
1.56	1.1	1.63
1.77	0.6	1.97
2.11	1.22	1
2.47	1.61	1.6
1.74	1.71	0.47
2.19	1.17	3.32
1.47	1.96	2.13
3.61	3.32	1.55
1.58	1.74	1.6
2.61	1.3	1.4
2.55	2.64	2.5
1.35	1.73	1.71
1.5	0.68	2.15
2.29	1.7	0.8
1.53	1.28	1.56
2.73	0.86	2.35
2.85	1.5	1.61
2.64	2.09	3.11
2.16	1.09	2.05
0.61	0.79	0.51
1.63	0.7	1.84
0.3	0.76	1.01
1.11	1.4	1.24
1.44	1.61	1.59
1.46	1.73	0.61
4.24	4.52	1.79
3.78	1.18	2.69
0.76	1.39	1.58
1.1	0.92	0.66
2.77	2.78	1.5
2.21	1.68	1.39
1.4	3.44	2.2
1.65	1.52	1.22
0.56	1.74	1.56
1.07	1.99	1.92
1.76	1.68	1.33
1.78	0.92	0.91
2.31	0.71	2.53
2.57	1.42	2.33
2.24	1.58	2.35
1.17	0.64	1
1.36	0.44	1.45
2.65	2.11	0.55
0.57	1.4	0.95
1.5	1.25	0.5
1.27	1.37	2.24
1.52	0.77	1.71
2.17	1.85	0.99
1.05	1.12	0.72
0.68	0.74	0.2
1.03	1.9	0.94
0.98	0.81	0.98
0.87	1.15	1.23
1.77	1.54	0.63
2.68	2.32	0.63
2.34	2.85	1.93
2.09	2.24	3.42
2.11	1.06	2.07
1.56	1.96	0.94
0.86	1.04	1.75
2.04	2.3	1.95
1.09	1.65	0.8
0.91	2.01	2.82
2.08	1.42	1.98
1.88	1.2	2.8
1.67	1.88	1.04
0.95	1.39	1.4
1.58	0.92	1.48
1.71	1.62	3.29
0.76	0.6	1.21
0.61	0.31	0.61
1.93	1.27	0.99
1.82	0.62	1.64
1.49	1.24	1.77
2.13	1.89	1.7
1.82	1.69	0.67
1.81	1.18	2.81
1.24	1.3	2.5
1.2	1.13	1.47
