L6-L7	L6-L8
1.44	1.05
1.54	1.04
1.99	0.88
1.14	0.44
1.46	1.22
1.4	0.98
1.42	1.39
1.74	0.19
0.67	0.59
1.09	1.02
2.63	2.02
1.2	1.08
1.11	1.22
1.35	1.06
0.5	0.79
0.72	1.1
0.79	1.39
1.45	0.85
0.88	0.86
2.33	1.43
1.53	2.22
1.17	0.91
2.13	2.4
2.88	2.67
0.93	1.04
0.98	0.33
1.16	0.58
1.41	1.79
3	2.5
0.38	1.61
1.12	2.55
0.95	0.56
2.32	1.75
1.12	0.58
0.81	0.41
1.21	0.77
1.84	0.63
2.07	0.64
1.04	1.18
0.7	0.7
1.62	0.7
1.34	0.81
1.6	3.34
1.59	0.98
0.98	1.66
1.05	0.67
1.08	0.55
1.25	0.38
0.34	1.83
0.88	1.14
1.28	0.94
0.88	1.41
3.22	3.38
1.51	0.78
0.96	0.66
1.32	1.8
0.63	0.87
0.86	0.9
1.07	0.45
1.49	1.25
3.03	1.53
1.11	1.24
1.09	1.29
1.22	0.53
0.87	1
0.66	0.82
1.16	0.43
1.23	1.41
0.38	1.72
0.3	0.5
1.09	1.08
1.65	2
1.94	0.87
1.24	1.05
0.62	0.71
0.73	0.8
1.21	0.5
0.55	0.97
1.6	0.86
1.54	0.76
1.42	1.32
0.5	0.47
1.61	0.26
1.46	0.32
0.56	0.7
1.37	1.18
0.76	1.12
1.47	0.72
1.48	1.25
0.58	0.44
1.48	0.92
1.24	0.81
0.89	1.25
0.85	0.61
0.01	1.04
1.78	0.94
1.87	2.5
1.47	1.08
1.25	0.41
0.82	0.52
2.74	1.78
1.99	2.23
1.09	0.62
2.28	1.69
1.07	2.43
0.93	0.57
